,FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
10,10,0.003788,0.76405,0.037676,-0.16216,0.46316,0.036565,-0.18124,0.21191,0.031464,0.15771,0.46195,0.032962,0.18298,0.213,0.032157,-0.20285999999999998,0.009391,-0.039069,0.19695,0.0105,-0.041191000000000005,-0.072386,-0.000811,-0.033429,0.073863,-0.003704,-0.034311,-0.12709,-0.38401,-0.041280000000000004,0.10958,-0.41308999999999996,-0.014990999999999999,-0.13207,-0.72483,-0.036996,0.11034000000000001,-0.7376,-0.036996
11,11,0.003788,0.76405,0.037676,-0.16216,0.46316,0.036565,-0.18124,0.21191,0.031464,0.15771,0.46195,0.032962,0.18298,0.213,0.032157,-0.20285999999999998,0.009391,-0.039069,0.19695,0.0105,-0.041191000000000005,-0.072386,-0.000811,-0.033429,0.073863,-0.003704,-0.034311,-0.12709,-0.38401,-0.041280000000000004,0.10958,-0.41308999999999996,-0.014990999999999999,-0.13207,-0.72483,-0.036996,0.11034000000000001,-0.7376,-0.036996
12,12,0.003014,0.76417,0.037787,-0.16242,0.46329,0.036725,-0.18170999999999998,0.21206,0.03171,0.15602,0.46113000000000004,0.03358,0.18219000000000002,0.21281,0.032306,-0.20228,0.009715999999999999,-0.039772,0.19638,0.010003,-0.040032,-0.07284,-0.000584,-0.033295,0.073308,-0.003568,-0.034227,-0.12739,-0.38466,-0.040904,0.1091,-0.41189,-0.015059999999999999,-0.13248,-0.72453,-0.037422000000000004,0.11082,-0.7369899999999999,-0.036904
13,13,0.003014,0.76417,0.037787,-0.16242,0.46329,0.036725,-0.18170999999999998,0.21206,0.03171,0.15602,0.46113000000000004,0.03358,0.18219000000000002,0.21281,0.032306,-0.20228,0.009715999999999999,-0.039772,0.19638,0.010003,-0.040032,-0.07284,-0.000584,-0.033295,0.073308,-0.003568,-0.034227,-0.12739,-0.38466,-0.040904,0.1091,-0.41189,-0.015059999999999999,-0.13248,-0.72453,-0.037422000000000004,0.11082,-0.7369899999999999,-0.036904
14,14,0.003014,0.76417,0.037787,-0.16242,0.46329,0.036725,-0.18170999999999998,0.21206,0.03171,0.15602,0.46113000000000004,0.03358,0.18219000000000002,0.21281,0.032306,-0.20228,0.009715999999999999,-0.039772,0.19638,0.010003,-0.040032,-0.07284,-0.000584,-0.033295,0.073308,-0.003568,-0.034227,-0.12739,-0.38466,-0.040904,0.1091,-0.41189,-0.015059999999999999,-0.13248,-0.72453,-0.037422000000000004,0.11082,-0.7369899999999999,-0.036904
15,15,0.003014,0.76417,0.037787,-0.16242,0.46329,0.036725,-0.18170999999999998,0.21206,0.03171,0.15602,0.46113000000000004,0.03358,0.18219000000000002,0.21281,0.032306,-0.20228,0.009715999999999999,-0.039772,0.19638,0.010003,-0.040032,-0.07284,-0.000584,-0.033295,0.073308,-0.003568,-0.034227,-0.12739,-0.38466,-0.040904,0.1091,-0.41189,-0.015059999999999999,-0.13248,-0.72453,-0.037422000000000004,0.11082,-0.7369899999999999,-0.036904
16,16,0.002547,0.76425,0.037946,-0.16244,0.46331000000000006,0.036747,-0.1819,0.21204,0.031787,0.15842,0.462,0.034042,0.18183,0.21273000000000003,0.032409,-0.20221,0.009828,-0.040223,0.19648,0.010009,-0.040089,-0.072966,-0.000513,-0.033106000000000003,0.07313,-0.0035189999999999996,-0.034048,-0.12738,-0.38469000000000003,-0.040892000000000005,0.10890999999999999,-0.41181999999999996,-0.015074,-0.13269,-0.7249899999999999,-0.037943,0.11137000000000001,-0.73748,-0.037574
17,17,0.002547,0.76425,0.037946,-0.16244,0.46331000000000006,0.036747,-0.1819,0.21204,0.031787,0.15842,0.462,0.034042,0.18183,0.21273000000000003,0.032409,-0.20221,0.009828,-0.040223,0.19648,0.010009,-0.040089,-0.072966,-0.000513,-0.033106000000000003,0.07313,-0.0035189999999999996,-0.034048,-0.12738,-0.38469000000000003,-0.040892000000000005,0.10890999999999999,-0.41181999999999996,-0.015074,-0.13269,-0.7249899999999999,-0.037943,0.11137000000000001,-0.73748,-0.037574
18,18,0.002547,0.76425,0.037946,-0.16244,0.46331000000000006,0.036747,-0.1819,0.21204,0.031787,0.15842,0.462,0.034042,0.18183,0.21273000000000003,0.032409,-0.20221,0.009828,-0.040223,0.19648,0.010009,-0.040089,-0.072966,-0.000513,-0.033106000000000003,0.07313,-0.0035189999999999996,-0.034048,-0.12738,-0.38469000000000003,-0.040892000000000005,0.10890999999999999,-0.41181999999999996,-0.015074,-0.13269,-0.7249899999999999,-0.037943,0.11137000000000001,-0.73748,-0.037574
19,19,0.002547,0.76425,0.037946,-0.16244,0.46331000000000006,0.036747,-0.1819,0.21204,0.031787,0.15842,0.462,0.034042,0.18183,0.21273000000000003,0.032409,-0.20221,0.009828,-0.040223,0.19648,0.010009,-0.040089,-0.072966,-0.000513,-0.033106000000000003,0.07313,-0.0035189999999999996,-0.034048,-0.12738,-0.38469000000000003,-0.040892000000000005,0.10890999999999999,-0.41181999999999996,-0.015074,-0.13269,-0.7249899999999999,-0.037943,0.11137000000000001,-0.73748,-0.037574
