,FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0,-0.003953,0.76418,0.00037200000000000004,-0.17692,0.48922,-0.029158999999999997,-0.22418000000000002,0.23848000000000003,-0.044119,0.16251,0.48916000000000004,-0.026393,0.19677999999999998,0.24927,-0.065683,-0.21174,0.046551999999999996,-0.12000999999999999,0.14991,0.3251,-0.26434,-0.07437,-0.001158,-0.036513,0.07431499999999999,0.002049,-0.036447,-0.10493,-0.33339,-0.00119,0.10101,-0.33901,0.009663,-0.11282,-0.6575,0.040445999999999996,0.10463,-0.64717,0.044545999999999995
1,1,-0.003953,0.76418,0.00037200000000000004,-0.17692,0.48922,-0.029158999999999997,-0.22418000000000002,0.23848000000000003,-0.044119,0.16251,0.48916000000000004,-0.026393,0.19677999999999998,0.24927,-0.065683,-0.21174,0.046551999999999996,-0.12000999999999999,0.14991,0.3251,-0.26434,-0.07437,-0.001158,-0.036513,0.07431499999999999,0.002049,-0.036447,-0.10493,-0.33339,-0.00119,0.10101,-0.33901,0.009663,-0.11282,-0.6575,0.040445999999999996,0.10463,-0.64717,0.044545999999999995
2,2,-0.003953,0.76418,0.00037200000000000004,-0.17692,0.48922,-0.029158999999999997,-0.22418000000000002,0.23848000000000003,-0.044119,0.16251,0.48916000000000004,-0.026393,0.19677999999999998,0.24927,-0.065683,-0.21174,0.046551999999999996,-0.12000999999999999,0.14991,0.3251,-0.26434,-0.07437,-0.001158,-0.036513,0.07431499999999999,0.002049,-0.036447,-0.10493,-0.33339,-0.00119,0.10101,-0.33901,0.009663,-0.11282,-0.6575,0.040445999999999996,0.10463,-0.64717,0.044545999999999995
3,3,-0.003953,0.76418,0.00037200000000000004,-0.17692,0.48922,-0.029158999999999997,-0.22418000000000002,0.23848000000000003,-0.044119,0.16251,0.48916000000000004,-0.026393,0.19677999999999998,0.24927,-0.065683,-0.21174,0.046551999999999996,-0.12000999999999999,0.14991,0.3251,-0.26434,-0.07437,-0.001158,-0.036513,0.07431499999999999,0.002049,-0.036447,-0.10493,-0.33339,-0.00119,0.10101,-0.33901,0.009663,-0.11282,-0.6575,0.040445999999999996,0.10463,-0.64717,0.044545999999999995
4,4,-0.003894,0.76394,0.00011,-0.17705,0.48928,-0.028901999999999997,-0.22416999999999998,0.23847,-0.044125,0.16355,0.48851000000000006,-0.027256,0.19589,0.24966999999999998,-0.067608,-0.21186999999999998,0.047742,-0.11990999999999999,0.14970999999999998,0.32402,-0.26311,-0.07441299999999999,-0.001168,-0.036435,0.07424299999999999,0.0020039999999999997,-0.036393,-0.10502,-0.33341,-0.0010119999999999999,0.10109,-0.33912,0.009931,-0.11283,-0.65736,0.040548,0.10439000000000001,-0.6459,0.044677
5,5,-0.003894,0.76394,0.00011,-0.17705,0.48928,-0.028901999999999997,-0.22416999999999998,0.23847,-0.044125,0.16355,0.48851000000000006,-0.027256,0.19589,0.24966999999999998,-0.067608,-0.21186999999999998,0.047742,-0.11990999999999999,0.14970999999999998,0.32402,-0.26311,-0.07441299999999999,-0.001168,-0.036435,0.07424299999999999,0.0020039999999999997,-0.036393,-0.10502,-0.33341,-0.0010119999999999999,0.10109,-0.33912,0.009931,-0.11283,-0.65736,0.040548,0.10439000000000001,-0.6459,0.044677
6,6,-0.003894,0.76394,0.00011,-0.17705,0.48928,-0.028901999999999997,-0.22416999999999998,0.23847,-0.044125,0.16355,0.48851000000000006,-0.027256,0.19589,0.24966999999999998,-0.067608,-0.21186999999999998,0.047742,-0.11990999999999999,0.14970999999999998,0.32402,-0.26311,-0.07441299999999999,-0.001168,-0.036435,0.07424299999999999,0.0020039999999999997,-0.036393,-0.10502,-0.33341,-0.0010119999999999999,0.10109,-0.33912,0.009931,-0.11283,-0.65736,0.040548,0.10439000000000001,-0.6459,0.044677
7,7,-0.003894,0.76394,0.00011,-0.17705,0.48928,-0.028901999999999997,-0.22416999999999998,0.23847,-0.044125,0.16355,0.48851000000000006,-0.027256,0.19589,0.24966999999999998,-0.067608,-0.21186999999999998,0.047742,-0.11990999999999999,0.14970999999999998,0.32402,-0.26311,-0.07441299999999999,-0.001168,-0.036435,0.07424299999999999,0.0020039999999999997,-0.036393,-0.10502,-0.33341,-0.0010119999999999999,0.10109,-0.33912,0.009931,-0.11283,-0.65736,0.040548,0.10439000000000001,-0.6459,0.044677
8,8,-0.0037990000000000003,0.76388,-0.000352,-0.17719000000000001,0.4893,-0.028676999999999998,-0.22418000000000002,0.23843000000000003,-0.044245,0.16184,0.49028999999999995,-0.025667000000000002,0.19592,0.24965,-0.067659,-0.21191,0.047726,-0.11997999999999999,0.1496,0.32349,-0.26234,-0.074423,-0.001167,-0.036416000000000004,0.07421699999999999,0.002052,-0.036243,-0.1049,-0.33376999999999996,-0.0007700000000000001,0.10112,-0.33888,0.009895999999999999,-0.11375,-0.65956,0.040732,0.10428,-0.6448699999999999,0.04478
9,9,-0.0037990000000000003,0.76388,-0.000352,-0.17719000000000001,0.4893,-0.028676999999999998,-0.22418000000000002,0.23843000000000003,-0.044245,0.16184,0.49028999999999995,-0.025667000000000002,0.19592,0.24965,-0.067659,-0.21191,0.047726,-0.11997999999999999,0.1496,0.32349,-0.26234,-0.074423,-0.001167,-0.036416000000000004,0.07421699999999999,0.002052,-0.036243,-0.1049,-0.33376999999999996,-0.0007700000000000001,0.10112,-0.33888,0.009895999999999999,-0.11375,-0.65956,0.040732,0.10428,-0.6448699999999999,0.04478
