,FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0,-0.048309,0.7751399999999999,-0.009984999999999999,-0.20665999999999998,0.5128,-0.020295,-0.25738,0.26527,-0.02663,0.13565,0.5092399999999999,-0.035985,0.19297999999999998,0.23913,-0.048918,-0.24153000000000002,0.032587,-0.1178,0.198,0.01439,-0.14829,-0.080928,-0.0035810000000000004,-0.037742000000000005,0.076744,0.003121,-0.035816,-0.1254,-0.37949,-0.052192999999999996,0.12455,-0.38965,-0.030839,-0.16314,-0.88875,-0.007608,0.16925,-0.8811100000000001,-0.006648
1,1,-0.048309,0.7751399999999999,-0.009984999999999999,-0.20665999999999998,0.5128,-0.020295,-0.25738,0.26527,-0.02663,0.13565,0.5092399999999999,-0.035985,0.19297999999999998,0.23913,-0.048918,-0.24153000000000002,0.032587,-0.1178,0.198,0.01439,-0.14829,-0.080928,-0.0035810000000000004,-0.037742000000000005,0.076744,0.003121,-0.035816,-0.1254,-0.37949,-0.052192999999999996,0.12455,-0.38965,-0.030839,-0.16314,-0.88875,-0.007608,0.16925,-0.8811100000000001,-0.006648
2,2,-0.048309,0.7751399999999999,-0.009984999999999999,-0.20665999999999998,0.5128,-0.020295,-0.25738,0.26527,-0.02663,0.13565,0.5092399999999999,-0.035985,0.19297999999999998,0.23913,-0.048918,-0.24153000000000002,0.032587,-0.1178,0.198,0.01439,-0.14829,-0.080928,-0.0035810000000000004,-0.037742000000000005,0.076744,0.003121,-0.035816,-0.1254,-0.37949,-0.052192999999999996,0.12455,-0.38965,-0.030839,-0.16314,-0.88875,-0.007608,0.16925,-0.8811100000000001,-0.006648
3,3,-0.048309,0.7751399999999999,-0.009984999999999999,-0.20665999999999998,0.5128,-0.020295,-0.25738,0.26527,-0.02663,0.13565,0.5092399999999999,-0.035985,0.19297999999999998,0.23913,-0.048918,-0.24153000000000002,0.032587,-0.1178,0.198,0.01439,-0.14829,-0.080928,-0.0035810000000000004,-0.037742000000000005,0.076744,0.003121,-0.035816,-0.1254,-0.37949,-0.052192999999999996,0.12455,-0.38965,-0.030839,-0.16314,-0.88875,-0.007608,0.16925,-0.8811100000000001,-0.006648
4,4,-0.048178,0.7751100000000001,-0.010102,-0.20665999999999998,0.51281,-0.020295,-0.25726,0.26525,-0.026618,0.13562000000000002,0.50918,-0.036012999999999996,0.19297999999999998,0.23911999999999997,-0.048918,-0.24141999999999997,0.032632999999999995,-0.11765,0.19801,0.014438,-0.14815,-0.08089099999999999,-0.0036200000000000004,-0.037783,0.076806,0.003032,-0.035965,-0.12542,-0.37934,-0.052251,0.12887,-0.4253,-0.025067,-0.16333,-0.88738,-0.007348,0.17022,-0.88515,-0.008927
5,5,-0.048178,0.7751100000000001,-0.010102,-0.20665999999999998,0.51281,-0.020295,-0.25726,0.26525,-0.026618,0.13562000000000002,0.50918,-0.036012999999999996,0.19297999999999998,0.23911999999999997,-0.048918,-0.24141999999999997,0.032632999999999995,-0.11765,0.19801,0.014438,-0.14815,-0.08089099999999999,-0.0036200000000000004,-0.037783,0.076806,0.003032,-0.035965,-0.12542,-0.37934,-0.052251,0.12887,-0.4253,-0.025067,-0.16333,-0.88738,-0.007348,0.17022,-0.88515,-0.008927
6,6,-0.048178,0.7751100000000001,-0.010102,-0.20665999999999998,0.51281,-0.020295,-0.25726,0.26525,-0.026618,0.13562000000000002,0.50918,-0.036012999999999996,0.19297999999999998,0.23911999999999997,-0.048918,-0.24141999999999997,0.032632999999999995,-0.11765,0.19801,0.014438,-0.14815,-0.08089099999999999,-0.0036200000000000004,-0.037783,0.076806,0.003032,-0.035965,-0.12542,-0.37934,-0.052251,0.12887,-0.4253,-0.025067,-0.16333,-0.88738,-0.007348,0.17022,-0.88515,-0.008927
7,7,-0.048178,0.7751100000000001,-0.010102,-0.20665999999999998,0.51281,-0.020295,-0.25726,0.26525,-0.026618,0.13562000000000002,0.50918,-0.036012999999999996,0.19297999999999998,0.23911999999999997,-0.048918,-0.24141999999999997,0.032632999999999995,-0.11765,0.19801,0.014438,-0.14815,-0.08089099999999999,-0.0036200000000000004,-0.037783,0.076806,0.003032,-0.035965,-0.12542,-0.37934,-0.052251,0.12887,-0.4253,-0.025067,-0.16333,-0.88738,-0.007348,0.17022,-0.88515,-0.008927
8,8,-0.048102,0.7751600000000001,-0.010102,-0.20664000000000002,0.51285,-0.0203,-0.25726,0.26524000000000003,-0.026514,0.13567,0.5091399999999999,-0.035967,0.19297,0.23915999999999998,-0.048837,-0.24143,0.032766,-0.11763,0.19799,0.014403000000000001,-0.14801,-0.080888,-0.003631,-0.037811000000000004,0.076811,0.003031,-0.035972000000000004,-0.12541,-0.37934,-0.052226999999999996,0.12904000000000002,-0.42593000000000003,-0.024955,-0.16318,-0.8877299999999999,-0.006975,0.17045,-0.88428,-0.009191
9,9,-0.048102,0.7751600000000001,-0.010102,-0.20664000000000002,0.51285,-0.0203,-0.25726,0.26524000000000003,-0.026514,0.13567,0.5091399999999999,-0.035967,0.19297,0.23915999999999998,-0.048837,-0.24143,0.032766,-0.11763,0.19799,0.014403000000000001,-0.14801,-0.080888,-0.003631,-0.037811000000000004,0.076811,0.003031,-0.035972000000000004,-0.12541,-0.37934,-0.052226999999999996,0.12904000000000002,-0.42593000000000003,-0.024955,-0.16318,-0.8877299999999999,-0.006975,0.17045,-0.88428,-0.009191
