,FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0,-0.043193,0.75365,-0.012279,-0.20432999999999998,0.50512,-0.001343,-0.25805,0.25439,0.0070599999999999994,0.13923,0.49968,-0.020495,0.19689,0.23686999999999997,-0.022125,-0.23923000000000003,0.025551,-0.076167,0.18774000000000002,0.022377,-0.10438,-0.065594,-0.00206,-0.035111,0.05885,0.001731,-0.031508,-0.12262,-0.35818,-0.044098000000000005,0.12037,-0.35141,-0.031361,-0.16605999999999999,-0.8564200000000001,-0.000866,0.19315,-0.89035,-0.007803
1,1,-0.043193,0.75365,-0.012279,-0.20432999999999998,0.50512,-0.001343,-0.25805,0.25439,0.0070599999999999994,0.13923,0.49968,-0.020495,0.19689,0.23686999999999997,-0.022125,-0.23923000000000003,0.025551,-0.076167,0.18774000000000002,0.022377,-0.10438,-0.065594,-0.00206,-0.035111,0.05885,0.001731,-0.031508,-0.12262,-0.35818,-0.044098000000000005,0.12037,-0.35141,-0.031361,-0.16605999999999999,-0.8564200000000001,-0.000866,0.19315,-0.89035,-0.007803
2,2,-0.043193,0.75365,-0.012279,-0.20432999999999998,0.50512,-0.001343,-0.25805,0.25439,0.0070599999999999994,0.13923,0.49968,-0.020495,0.19689,0.23686999999999997,-0.022125,-0.23923000000000003,0.025551,-0.076167,0.18774000000000002,0.022377,-0.10438,-0.065594,-0.00206,-0.035111,0.05885,0.001731,-0.031508,-0.12262,-0.35818,-0.044098000000000005,0.12037,-0.35141,-0.031361,-0.16605999999999999,-0.8564200000000001,-0.000866,0.19315,-0.89035,-0.007803
3,3,-0.043193,0.75365,-0.012279,-0.20432999999999998,0.50512,-0.001343,-0.25805,0.25439,0.0070599999999999994,0.13923,0.49968,-0.020495,0.19689,0.23686999999999997,-0.022125,-0.23923000000000003,0.025551,-0.076167,0.18774000000000002,0.022377,-0.10438,-0.065594,-0.00206,-0.035111,0.05885,0.001731,-0.031508,-0.12262,-0.35818,-0.044098000000000005,0.12037,-0.35141,-0.031361,-0.16605999999999999,-0.8564200000000001,-0.000866,0.19315,-0.89035,-0.007803
4,4,-0.04324,0.75356,-0.012515,-0.20435999999999999,0.50512,-0.001376,-0.25801,0.25445999999999996,0.007157999999999999,0.13917000000000002,0.49968999999999997,-0.020716,0.19695,0.23684000000000002,-0.022118000000000002,-0.23928000000000002,0.025642,-0.075879,0.18779,0.022096,-0.10455,-0.065591,-0.0020629999999999997,-0.035108999999999994,0.058852,0.00172,-0.031518,-0.12265999999999999,-0.35818,-0.04405,0.12072000000000001,-0.35154,-0.032934,-0.1662,-0.8563799999999999,-0.000583,0.19294,-0.89194,-0.009496
5,5,-0.04324,0.75356,-0.012515,-0.20435999999999999,0.50512,-0.001376,-0.25801,0.25445999999999996,0.007157999999999999,0.13917000000000002,0.49968999999999997,-0.020716,0.19695,0.23684000000000002,-0.022118000000000002,-0.23928000000000002,0.025642,-0.075879,0.18779,0.022096,-0.10455,-0.065591,-0.0020629999999999997,-0.035108999999999994,0.058852,0.00172,-0.031518,-0.12265999999999999,-0.35818,-0.04405,0.12072000000000001,-0.35154,-0.032934,-0.1662,-0.8563799999999999,-0.000583,0.19294,-0.89194,-0.009496
6,6,-0.04324,0.75356,-0.012515,-0.20435999999999999,0.50512,-0.001376,-0.25801,0.25445999999999996,0.007157999999999999,0.13917000000000002,0.49968999999999997,-0.020716,0.19695,0.23684000000000002,-0.022118000000000002,-0.23928000000000002,0.025642,-0.075879,0.18779,0.022096,-0.10455,-0.065591,-0.0020629999999999997,-0.035108999999999994,0.058852,0.00172,-0.031518,-0.12265999999999999,-0.35818,-0.04405,0.12072000000000001,-0.35154,-0.032934,-0.1662,-0.8563799999999999,-0.000583,0.19294,-0.89194,-0.009496
7,7,-0.04324,0.75356,-0.012515,-0.20435999999999999,0.50512,-0.001376,-0.25801,0.25445999999999996,0.007157999999999999,0.13917000000000002,0.49968999999999997,-0.020716,0.19695,0.23684000000000002,-0.022118000000000002,-0.23928000000000002,0.025642,-0.075879,0.18779,0.022096,-0.10455,-0.065591,-0.0020629999999999997,-0.035108999999999994,0.058852,0.00172,-0.031518,-0.12265999999999999,-0.35818,-0.04405,0.12072000000000001,-0.35154,-0.032934,-0.1662,-0.8563799999999999,-0.000583,0.19294,-0.89194,-0.009496
8,8,-0.043388,0.75351,-0.013033000000000001,-0.20435999999999999,0.50512,-0.0013599999999999999,-0.25799,0.2545,0.007154000000000001,0.13915,0.4997,-0.020746,0.19701,0.23681999999999997,-0.022201,-0.23920999999999998,0.025675999999999997,-0.075651,0.18782000000000001,0.021919,-0.10467,-0.065582,-0.002097,-0.03507,0.058852,0.001719,-0.031514999999999994,-0.12269000000000001,-0.35819,-0.04387,0.12032999999999999,-0.35131,-0.030313,-0.16576,-0.85619,0.001623,0.1931,-0.8912100000000001,-0.00938
9,9,-0.043388,0.75351,-0.013033000000000001,-0.20435999999999999,0.50512,-0.0013599999999999999,-0.25799,0.2545,0.007154000000000001,0.13915,0.4997,-0.020746,0.19701,0.23681999999999997,-0.022201,-0.23920999999999998,0.025675999999999997,-0.075651,0.18782000000000001,0.021919,-0.10467,-0.065582,-0.002097,-0.03507,0.058852,0.001719,-0.031514999999999994,-0.12269000000000001,-0.35819,-0.04387,0.12032999999999999,-0.35131,-0.030313,-0.16576,-0.85619,0.001623,0.1931,-0.8912100000000001,-0.00938
10,10,-0.043388,0.75351,-0.013033000000000001,-0.20435999999999999,0.50512,-0.0013599999999999999,-0.25799,0.2545,0.007154000000000001,0.13915,0.4997,-0.020746,0.19701,0.23681999999999997,-0.022201,-0.23920999999999998,0.025675999999999997,-0.075651,0.18782000000000001,0.021919,-0.10467,-0.065582,-0.002097,-0.03507,0.058852,0.001719,-0.031514999999999994,-0.12269000000000001,-0.35819,-0.04387,0.12032999999999999,-0.35131,-0.030313,-0.16576,-0.85619,0.001623,0.1931,-0.8912100000000001,-0.00938
11,11,-0.043388,0.75351,-0.013033000000000001,-0.20435999999999999,0.50512,-0.0013599999999999999,-0.25799,0.2545,0.007154000000000001,0.13915,0.4997,-0.020746,0.19701,0.23681999999999997,-0.022201,-0.23920999999999998,0.025675999999999997,-0.075651,0.18782000000000001,0.021919,-0.10467,-0.065582,-0.002097,-0.03507,0.058852,0.001719,-0.031514999999999994,-0.12269000000000001,-0.35819,-0.04387,0.12032999999999999,-0.35131,-0.030313,-0.16576,-0.85619,0.001623,0.1931,-0.8912100000000001,-0.00938
12,12,-0.043566,0.75347,-0.013307,-0.20446,0.50513,-0.001315,-0.25798000000000004,0.25432,0.007298000000000001,0.13904,0.49962,-0.020944,0.19705999999999999,0.23665,-0.022296,-0.23923000000000003,0.025699,-0.075614,0.1879,0.021769,-0.10479000000000001,-0.065648,-0.002135,-0.035016000000000005,0.058789999999999995,0.001652,-0.031492,-0.1227,-0.35824,-0.043845,0.12080999999999999,-0.35161,-0.03318,-0.1658,-0.8562700000000001,0.001416,0.19322999999999999,-0.8916200000000001,-0.009927
13,13,-0.043566,0.75347,-0.013307,-0.20446,0.50513,-0.001315,-0.25798000000000004,0.25432,0.007298000000000001,0.13904,0.49962,-0.020944,0.19705999999999999,0.23665,-0.022296,-0.23923000000000003,0.025699,-0.075614,0.1879,0.021769,-0.10479000000000001,-0.065648,-0.002135,-0.035016000000000005,0.058789999999999995,0.001652,-0.031492,-0.1227,-0.35824,-0.043845,0.12080999999999999,-0.35161,-0.03318,-0.1658,-0.8562700000000001,0.001416,0.19322999999999999,-0.8916200000000001,-0.009927
14,14,-0.043566,0.75347,-0.013307,-0.20446,0.50513,-0.001315,-0.25798000000000004,0.25432,0.007298000000000001,0.13904,0.49962,-0.020944,0.19705999999999999,0.23665,-0.022296,-0.23923000000000003,0.025699,-0.075614,0.1879,0.021769,-0.10479000000000001,-0.065648,-0.002135,-0.035016000000000005,0.058789999999999995,0.001652,-0.031492,-0.1227,-0.35824,-0.043845,0.12080999999999999,-0.35161,-0.03318,-0.1658,-0.8562700000000001,0.001416,0.19322999999999999,-0.8916200000000001,-0.009927
