,FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0,-0.006696,0.67889,0.045305,-0.16308,0.53317,0.043917000000000005,-0.23961999999999997,0.7166100000000001,-0.031029,0.1579,0.53132,0.021544,0.21366999999999997,0.7327100000000001,-0.038696,-0.23992,0.92409,-0.092459,0.20943,0.94389,-0.080125,-0.06467,-0.005679999999999999,-0.033754,0.06474500000000001,-0.001208,-0.034247,-0.09953300000000001,-0.36934,-0.024463,0.10454000000000001,-0.36569,-0.035504,-0.13208,-0.8818,0.045301,0.14490999999999998,-0.8950600000000001,0.028617
1,1,-0.006696,0.67889,0.045305,-0.16308,0.53317,0.043917000000000005,-0.23961999999999997,0.7166100000000001,-0.031029,0.1579,0.53132,0.021544,0.21366999999999997,0.7327100000000001,-0.038696,-0.23992,0.92409,-0.092459,0.20943,0.94389,-0.080125,-0.06467,-0.005679999999999999,-0.033754,0.06474500000000001,-0.001208,-0.034247,-0.09953300000000001,-0.36934,-0.024463,0.10454000000000001,-0.36569,-0.035504,-0.13208,-0.8818,0.045301,0.14490999999999998,-0.8950600000000001,0.028617
2,2,-0.006696,0.67889,0.045305,-0.16308,0.53317,0.043917000000000005,-0.23961999999999997,0.7166100000000001,-0.031029,0.1579,0.53132,0.021544,0.21366999999999997,0.7327100000000001,-0.038696,-0.23992,0.92409,-0.092459,0.20943,0.94389,-0.080125,-0.06467,-0.005679999999999999,-0.033754,0.06474500000000001,-0.001208,-0.034247,-0.09953300000000001,-0.36934,-0.024463,0.10454000000000001,-0.36569,-0.035504,-0.13208,-0.8818,0.045301,0.14490999999999998,-0.8950600000000001,0.028617
3,3,-0.006696,0.67889,0.045305,-0.16308,0.53317,0.043917000000000005,-0.23961999999999997,0.7166100000000001,-0.031029,0.1579,0.53132,0.021544,0.21366999999999997,0.7327100000000001,-0.038696,-0.23992,0.92409,-0.092459,0.20943,0.94389,-0.080125,-0.06467,-0.005679999999999999,-0.033754,0.06474500000000001,-0.001208,-0.034247,-0.09953300000000001,-0.36934,-0.024463,0.10454000000000001,-0.36569,-0.035504,-0.13208,-0.8818,0.045301,0.14490999999999998,-0.8950600000000001,0.028617
4,4,-0.006962,0.67853,0.044817,-0.1632,0.53373,0.043703,-0.23961999999999997,0.7158,-0.031544,0.15779,0.53123,0.021266999999999998,0.21369000000000002,0.7325699999999999,-0.039044,-0.24018,0.9231799999999999,-0.093392,0.20998000000000003,0.9434899999999999,-0.082325,-0.06475700000000001,-0.005684000000000001,-0.033822000000000005,0.064471,-0.001429,-0.033672,-0.099673,-0.36930999999999997,-0.024380000000000002,0.10493,-0.36586,-0.035207,-0.13192,-0.88181,0.044777,0.14488,-0.89502,0.028477
5,5,-0.006962,0.67853,0.044817,-0.1632,0.53373,0.043703,-0.23961999999999997,0.7158,-0.031544,0.15779,0.53123,0.021266999999999998,0.21369000000000002,0.7325699999999999,-0.039044,-0.24018,0.9231799999999999,-0.093392,0.20998000000000003,0.9434899999999999,-0.082325,-0.06475700000000001,-0.005684000000000001,-0.033822000000000005,0.064471,-0.001429,-0.033672,-0.099673,-0.36930999999999997,-0.024380000000000002,0.10493,-0.36586,-0.035207,-0.13192,-0.88181,0.044777,0.14488,-0.89502,0.028477
6,6,-0.006962,0.67853,0.044817,-0.1632,0.53373,0.043703,-0.23961999999999997,0.7158,-0.031544,0.15779,0.53123,0.021266999999999998,0.21369000000000002,0.7325699999999999,-0.039044,-0.24018,0.9231799999999999,-0.093392,0.20998000000000003,0.9434899999999999,-0.082325,-0.06475700000000001,-0.005684000000000001,-0.033822000000000005,0.064471,-0.001429,-0.033672,-0.099673,-0.36930999999999997,-0.024380000000000002,0.10493,-0.36586,-0.035207,-0.13192,-0.88181,0.044777,0.14488,-0.89502,0.028477
7,7,-0.006962,0.67853,0.044817,-0.1632,0.53373,0.043703,-0.23961999999999997,0.7158,-0.031544,0.15779,0.53123,0.021266999999999998,0.21369000000000002,0.7325699999999999,-0.039044,-0.24018,0.9231799999999999,-0.093392,0.20998000000000003,0.9434899999999999,-0.082325,-0.06475700000000001,-0.005684000000000001,-0.033822000000000005,0.064471,-0.001429,-0.033672,-0.099673,-0.36930999999999997,-0.024380000000000002,0.10493,-0.36586,-0.035207,-0.13192,-0.88181,0.044777,0.14488,-0.89502,0.028477
8,8,-0.006866,0.6784399999999999,0.044489999999999995,-0.16327,0.53417,0.043535000000000004,-0.23969000000000001,0.71455,-0.031715,0.15798,0.5313899999999999,0.020826,0.21379,0.73261,-0.040175999999999996,-0.24049,0.92161,-0.09490599999999999,0.21055,0.9433799999999999,-0.084444,-0.064921,-0.005782,-0.033858,0.064389,-0.001505,-0.033772,-0.099602,-0.36943000000000004,-0.024397,0.10464000000000001,-0.36599,-0.035556,-0.13204000000000002,-0.88166,0.045036,0.14532,-0.8946700000000001,0.027510000000000003
9,9,-0.006866,0.6784399999999999,0.044489999999999995,-0.16327,0.53417,0.043535000000000004,-0.23969000000000001,0.71455,-0.031715,0.15798,0.5313899999999999,0.020826,0.21379,0.73261,-0.040175999999999996,-0.24049,0.92161,-0.09490599999999999,0.21055,0.9433799999999999,-0.084444,-0.064921,-0.005782,-0.033858,0.064389,-0.001505,-0.033772,-0.099602,-0.36943000000000004,-0.024397,0.10464000000000001,-0.36599,-0.035556,-0.13204000000000002,-0.88166,0.045036,0.14532,-0.8946700000000001,0.027510000000000003
10,10,-0.006866,0.6784399999999999,0.044489999999999995,-0.16327,0.53417,0.043535000000000004,-0.23969000000000001,0.71455,-0.031715,0.15798,0.5313899999999999,0.020826,0.21379,0.73261,-0.040175999999999996,-0.24049,0.92161,-0.09490599999999999,0.21055,0.9433799999999999,-0.084444,-0.064921,-0.005782,-0.033858,0.064389,-0.001505,-0.033772,-0.099602,-0.36943000000000004,-0.024397,0.10464000000000001,-0.36599,-0.035556,-0.13204000000000002,-0.88166,0.045036,0.14532,-0.8946700000000001,0.027510000000000003
11,11,-0.006866,0.6784399999999999,0.044489999999999995,-0.16327,0.53417,0.043535000000000004,-0.23969000000000001,0.71455,-0.031715,0.15798,0.5313899999999999,0.020826,0.21379,0.73261,-0.040175999999999996,-0.24049,0.92161,-0.09490599999999999,0.21055,0.9433799999999999,-0.084444,-0.064921,-0.005782,-0.033858,0.064389,-0.001505,-0.033772,-0.099602,-0.36943000000000004,-0.024397,0.10464000000000001,-0.36599,-0.035556,-0.13204000000000002,-0.88166,0.045036,0.14532,-0.8946700000000001,0.027510000000000003
12,12,-0.0067870000000000005,0.67818,0.043843,-0.1634,0.5346,0.043275,-0.23935,0.7126,-0.032695,0.15805999999999998,0.53149,0.020496,0.2158,0.73163,-0.042926,-0.24056999999999998,0.91956,-0.09629,0.21151999999999999,0.9425600000000001,-0.08604400000000001,-0.064927,-0.005901,-0.033749,0.06418,-0.0017460000000000002,-0.033805,-0.09964400000000001,-0.36955,-0.024339,0.10435,-0.36628,-0.036016,-0.13218,-0.88094,0.045387000000000004,0.14519,-0.89451,0.027924
13,13,-0.0067870000000000005,0.67818,0.043843,-0.1634,0.5346,0.043275,-0.23935,0.7126,-0.032695,0.15805999999999998,0.53149,0.020496,0.2158,0.73163,-0.042926,-0.24056999999999998,0.91956,-0.09629,0.21151999999999999,0.9425600000000001,-0.08604400000000001,-0.064927,-0.005901,-0.033749,0.06418,-0.0017460000000000002,-0.033805,-0.09964400000000001,-0.36955,-0.024339,0.10435,-0.36628,-0.036016,-0.13218,-0.88094,0.045387000000000004,0.14519,-0.89451,0.027924
14,14,-0.0067870000000000005,0.67818,0.043843,-0.1634,0.5346,0.043275,-0.23935,0.7126,-0.032695,0.15805999999999998,0.53149,0.020496,0.2158,0.73163,-0.042926,-0.24056999999999998,0.91956,-0.09629,0.21151999999999999,0.9425600000000001,-0.08604400000000001,-0.064927,-0.005901,-0.033749,0.06418,-0.0017460000000000002,-0.033805,-0.09964400000000001,-0.36955,-0.024339,0.10435,-0.36628,-0.036016,-0.13218,-0.88094,0.045387000000000004,0.14519,-0.89451,0.027924
15,15,-0.0067870000000000005,0.67818,0.043843,-0.1634,0.5346,0.043275,-0.23935,0.7126,-0.032695,0.15805999999999998,0.53149,0.020496,0.2158,0.73163,-0.042926,-0.24056999999999998,0.91956,-0.09629,0.21151999999999999,0.9425600000000001,-0.08604400000000001,-0.064927,-0.005901,-0.033749,0.06418,-0.0017460000000000002,-0.033805,-0.09964400000000001,-0.36955,-0.024339,0.10435,-0.36628,-0.036016,-0.13218,-0.88094,0.045387000000000004,0.14519,-0.89451,0.027924
16,16,-0.006984999999999999,0.67792,0.043115,-0.16334,0.53479,0.043119,-0.23944000000000001,0.7125600000000001,-0.033044,0.15807000000000002,0.53122,0.020051,0.21574000000000002,0.73141,-0.043212,-0.24064000000000002,0.91935,-0.097295,0.21248000000000003,0.94205,-0.088357,-0.065089,-0.005935,-0.033717000000000004,0.064006,-0.001714,-0.033929,-0.09976900000000001,-0.36959000000000003,-0.024347999999999998,0.10422000000000001,-0.36623,-0.036016,-0.13219,-0.88118,0.04562,0.14498,-0.8942700000000001,0.027169
17,17,-0.006984999999999999,0.67792,0.043115,-0.16334,0.53479,0.043119,-0.23944000000000001,0.7125600000000001,-0.033044,0.15807000000000002,0.53122,0.020051,0.21574000000000002,0.73141,-0.043212,-0.24064000000000002,0.91935,-0.097295,0.21248000000000003,0.94205,-0.088357,-0.065089,-0.005935,-0.033717000000000004,0.064006,-0.001714,-0.033929,-0.09976900000000001,-0.36959000000000003,-0.024347999999999998,0.10422000000000001,-0.36623,-0.036016,-0.13219,-0.88118,0.04562,0.14498,-0.8942700000000001,0.027169
18,18,-0.006984999999999999,0.67792,0.043115,-0.16334,0.53479,0.043119,-0.23944000000000001,0.7125600000000001,-0.033044,0.15807000000000002,0.53122,0.020051,0.21574000000000002,0.73141,-0.043212,-0.24064000000000002,0.91935,-0.097295,0.21248000000000003,0.94205,-0.088357,-0.065089,-0.005935,-0.033717000000000004,0.064006,-0.001714,-0.033929,-0.09976900000000001,-0.36959000000000003,-0.024347999999999998,0.10422000000000001,-0.36623,-0.036016,-0.13219,-0.88118,0.04562,0.14498,-0.8942700000000001,0.027169
19,19,-0.006984999999999999,0.67792,0.043115,-0.16334,0.53479,0.043119,-0.23944000000000001,0.7125600000000001,-0.033044,0.15807000000000002,0.53122,0.020051,0.21574000000000002,0.73141,-0.043212,-0.24064000000000002,0.91935,-0.097295,0.21248000000000003,0.94205,-0.088357,-0.065089,-0.005935,-0.033717000000000004,0.064006,-0.001714,-0.033929,-0.09976900000000001,-0.36959000000000003,-0.024347999999999998,0.10422000000000001,-0.36623,-0.036016,-0.13219,-0.88118,0.04562,0.14498,-0.8942700000000001,0.027169
20,20,-0.006886,0.67748,0.042513999999999996,-0.16142,0.53036,0.045127,-0.23955,0.7126100000000001,-0.033718,0.15969,0.52344,0.021248,0.21425,0.72448,-0.04227,-0.24072,0.91938,-0.09807300000000001,0.21300999999999998,0.9349799999999999,-0.088546,-0.065885,-0.00908,-0.032951999999999995,0.06338200000000001,-0.005258,-0.034602,-0.1003,-0.37274,-0.023729,0.10424000000000001,-0.36956,-0.035735,-0.13187000000000001,-0.88087,0.04523,0.1448,-0.8942399999999999,0.027218
21,21,-0.006886,0.67748,0.042513999999999996,-0.16142,0.53036,0.045127,-0.23955,0.7126100000000001,-0.033718,0.15969,0.52344,0.021248,0.21425,0.72448,-0.04227,-0.24072,0.91938,-0.09807300000000001,0.21300999999999998,0.9349799999999999,-0.088546,-0.065885,-0.00908,-0.032951999999999995,0.06338200000000001,-0.005258,-0.034602,-0.1003,-0.37274,-0.023729,0.10424000000000001,-0.36956,-0.035735,-0.13187000000000001,-0.88087,0.04523,0.1448,-0.8942399999999999,0.027218
22,22,-0.006886,0.67748,0.042513999999999996,-0.16142,0.53036,0.045127,-0.23955,0.7126100000000001,-0.033718,0.15969,0.52344,0.021248,0.21425,0.72448,-0.04227,-0.24072,0.91938,-0.09807300000000001,0.21300999999999998,0.9349799999999999,-0.088546,-0.065885,-0.00908,-0.032951999999999995,0.06338200000000001,-0.005258,-0.034602,-0.1003,-0.37274,-0.023729,0.10424000000000001,-0.36956,-0.035735,-0.13187000000000001,-0.88087,0.04523,0.1448,-0.8942399999999999,0.027218
23,23,-0.006886,0.67748,0.042513999999999996,-0.16142,0.53036,0.045127,-0.23955,0.7126100000000001,-0.033718,0.15969,0.52344,0.021248,0.21425,0.72448,-0.04227,-0.24072,0.91938,-0.09807300000000001,0.21300999999999998,0.9349799999999999,-0.088546,-0.065885,-0.00908,-0.032951999999999995,0.06338200000000001,-0.005258,-0.034602,-0.1003,-0.37274,-0.023729,0.10424000000000001,-0.36956,-0.035735,-0.13187000000000001,-0.88087,0.04523,0.1448,-0.8942399999999999,0.027218
24,24,-0.007035,0.6772199999999999,0.042205,-0.16129000000000002,0.52904,0.04517,-0.23972,0.7127600000000001,-0.034288,0.16038,0.52082,0.021661,0.21386,0.72209,-0.042158,-0.24089000000000002,0.9195399999999999,-0.09858,0.21378000000000003,0.93245,-0.089325,-0.06639,-0.010731999999999998,-0.032667,0.063524,-0.006689,-0.034761,-0.10047,-0.37435,-0.023122999999999998,0.10436,-0.37095,-0.035682,-0.13151,-0.8810600000000001,0.046232999999999996,0.14507,-0.8940600000000001,0.028129
25,25,-0.007035,0.6772199999999999,0.042205,-0.16129000000000002,0.52904,0.04517,-0.23972,0.7127600000000001,-0.034288,0.16038,0.52082,0.021661,0.21386,0.72209,-0.042158,-0.24089000000000002,0.9195399999999999,-0.09858,0.21378000000000003,0.93245,-0.089325,-0.06639,-0.010731999999999998,-0.032667,0.063524,-0.006689,-0.034761,-0.10047,-0.37435,-0.023122999999999998,0.10436,-0.37095,-0.035682,-0.13151,-0.8810600000000001,0.046232999999999996,0.14507,-0.8940600000000001,0.028129
26,26,-0.007035,0.6772199999999999,0.042205,-0.16129000000000002,0.52904,0.04517,-0.23972,0.7127600000000001,-0.034288,0.16038,0.52082,0.021661,0.21386,0.72209,-0.042158,-0.24089000000000002,0.9195399999999999,-0.09858,0.21378000000000003,0.93245,-0.089325,-0.06639,-0.010731999999999998,-0.032667,0.063524,-0.006689,-0.034761,-0.10047,-0.37435,-0.023122999999999998,0.10436,-0.37095,-0.035682,-0.13151,-0.8810600000000001,0.046232999999999996,0.14507,-0.8940600000000001,0.028129
27,27,-0.007035,0.6772199999999999,0.042205,-0.16129000000000002,0.52904,0.04517,-0.23972,0.7127600000000001,-0.034288,0.16038,0.52082,0.021661,0.21386,0.72209,-0.042158,-0.24089000000000002,0.9195399999999999,-0.09858,0.21378000000000003,0.93245,-0.089325,-0.06639,-0.010731999999999998,-0.032667,0.063524,-0.006689,-0.034761,-0.10047,-0.37435,-0.023122999999999998,0.10436,-0.37095,-0.035682,-0.13151,-0.8810600000000001,0.046232999999999996,0.14507,-0.8940600000000001,0.028129
28,28,-0.006968000000000001,0.67709,0.04212,-0.16137,0.52828,0.044982,-0.23956,0.71187,-0.034378,0.15994,0.52257,0.021226,0.21506999999999998,0.7233,-0.043414999999999995,-0.24101,0.9185200000000001,-0.09915700000000001,0.21466,0.9336,-0.090735,-0.06632,-0.010718,-0.032986,0.063598,-0.00656,-0.035144,-0.10049,-0.37434,-0.023375,0.1044,-0.37083,-0.035983999999999995,-0.13162000000000001,-0.8812200000000001,0.045481,0.14485,-0.89397,0.028161000000000002
29,29,-0.006968000000000001,0.67709,0.04212,-0.16137,0.52828,0.044982,-0.23956,0.71187,-0.034378,0.15994,0.52257,0.021226,0.21506999999999998,0.7233,-0.043414999999999995,-0.24101,0.9185200000000001,-0.09915700000000001,0.21466,0.9336,-0.090735,-0.06632,-0.010718,-0.032986,0.063598,-0.00656,-0.035144,-0.10049,-0.37434,-0.023375,0.1044,-0.37083,-0.035983999999999995,-0.13162000000000001,-0.8812200000000001,0.045481,0.14485,-0.89397,0.028161000000000002
30,30,-0.006968000000000001,0.67709,0.04212,-0.16137,0.52828,0.044982,-0.23956,0.71187,-0.034378,0.15994,0.52257,0.021226,0.21506999999999998,0.7233,-0.043414999999999995,-0.24101,0.9185200000000001,-0.09915700000000001,0.21466,0.9336,-0.090735,-0.06632,-0.010718,-0.032986,0.063598,-0.00656,-0.035144,-0.10049,-0.37434,-0.023375,0.1044,-0.37083,-0.035983999999999995,-0.13162000000000001,-0.8812200000000001,0.045481,0.14485,-0.89397,0.028161000000000002
31,31,-0.006968000000000001,0.67709,0.04212,-0.16137,0.52828,0.044982,-0.23956,0.71187,-0.034378,0.15994,0.52257,0.021226,0.21506999999999998,0.7233,-0.043414999999999995,-0.24101,0.9185200000000001,-0.09915700000000001,0.21466,0.9336,-0.090735,-0.06632,-0.010718,-0.032986,0.063598,-0.00656,-0.035144,-0.10049,-0.37434,-0.023375,0.1044,-0.37083,-0.035983999999999995,-0.13162000000000001,-0.8812200000000001,0.045481,0.14485,-0.89397,0.028161000000000002
32,32,-0.006973,0.67686,0.041808,-0.16107,0.5272100000000001,0.044938,-0.23956999999999998,0.7116899999999999,-0.034759,0.16015,0.5209699999999999,0.021168,0.2153,0.7215199999999999,-0.043778,-0.24115,0.91822,-0.099867,0.21545999999999998,0.93169,-0.091809,-0.066571,-0.011696,-0.03291,0.06350499999999999,-0.0075829999999999995,-0.035394999999999996,-0.10064,-0.37531,-0.023212,0.10438,-0.3718,-0.036059,-0.13155999999999998,-0.8812200000000001,0.045577,0.1448,-0.8937799999999999,0.028054000000000003
33,33,-0.006973,0.67686,0.041808,-0.16107,0.5272100000000001,0.044938,-0.23956999999999998,0.7116899999999999,-0.034759,0.16015,0.5209699999999999,0.021168,0.2153,0.7215199999999999,-0.043778,-0.24115,0.91822,-0.099867,0.21545999999999998,0.93169,-0.091809,-0.066571,-0.011696,-0.03291,0.06350499999999999,-0.0075829999999999995,-0.035394999999999996,-0.10064,-0.37531,-0.023212,0.10438,-0.3718,-0.036059,-0.13155999999999998,-0.8812200000000001,0.045577,0.1448,-0.8937799999999999,0.028054000000000003
34,34,-0.006973,0.67686,0.041808,-0.16107,0.5272100000000001,0.044938,-0.23956999999999998,0.7116899999999999,-0.034759,0.16015,0.5209699999999999,0.021168,0.2153,0.7215199999999999,-0.043778,-0.24115,0.91822,-0.099867,0.21545999999999998,0.93169,-0.091809,-0.066571,-0.011696,-0.03291,0.06350499999999999,-0.0075829999999999995,-0.035394999999999996,-0.10064,-0.37531,-0.023212,0.10438,-0.3718,-0.036059,-0.13155999999999998,-0.8812200000000001,0.045577,0.1448,-0.8937799999999999,0.028054000000000003
35,35,-0.006973,0.67686,0.041808,-0.16107,0.5272100000000001,0.044938,-0.23956999999999998,0.7116899999999999,-0.034759,0.16015,0.5209699999999999,0.021168,0.2153,0.7215199999999999,-0.043778,-0.24115,0.91822,-0.099867,0.21545999999999998,0.93169,-0.091809,-0.066571,-0.011696,-0.03291,0.06350499999999999,-0.0075829999999999995,-0.035394999999999996,-0.10064,-0.37531,-0.023212,0.10438,-0.3718,-0.036059,-0.13155999999999998,-0.8812200000000001,0.045577,0.1448,-0.8937799999999999,0.028054000000000003
36,36,-0.006971,0.67666,0.041575,-0.16075,0.52599,0.044889,-0.23956999999999998,0.71141,-0.035157,0.16035,0.5192100000000001,0.021183,0.21550999999999998,0.7197100000000001,-0.044148,-0.2413,0.91781,-0.10053,0.21624000000000002,0.92979,-0.092764,-0.06682,-0.012717000000000001,-0.032846,0.063428,-0.008697,-0.035687,-0.10079,-0.37632,-0.02305,0.10435,-0.37287,-0.03617,-0.13153,-0.88113,0.045692,0.14475,-0.89361,0.027954000000000003
