nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,score
497.7565108396407,136.52674159187288,0.9926990866661072,489.4874259964592,129.37831299778088,0.9948366284370422,505.5076324399445,129.52698110142572,0.9611126184463501,478.42763235365777,135.9950054480408,0.9317956566810608,513.3360992875764,136.22815499509818,0.6528670787811279,453.7518391123433,189.94673079553746,0.99887615442276,530.2326075183131,188.51580430561467,0.9997895956039429,443.74107643175023,254.2030120730864,0.9938672184944153,540.381624027498,255.47215740040585,0.9985275268554688,441.7111962332299,312.0314578045203,0.9879204034805298,547.156798555053,311.9492527111959,0.9944576025009155,470.048841575575,310.3084852166677,0.9937082529067993,518.7676965154383,309.3355218909594,0.9970486164093018,454.4150089255985,407.8839431940814,0.9991739392280579,526.487258435287,406.59421453216197,0.9996569156646729,455.9690588556556,502.02929426260033,0.9964209198951721,526.3683569386694,498.31836269987235,0.997494101524353,0.970014842117534
488.3330465780722,298.84917856654306,0.9904629588127136,485.06935909532956,293.24365044382296,0.9953176379203796,492.77517573303095,290.7385752637099,0.9854509234428406,474.22260130567014,297.0541643075906,0.9558112025260925,506.57226702081437,294.32498085823505,0.8535827398300171,459.44020718199795,328.1361537591957,0.9989171028137207,527.0542112735106,331.9510920780642,0.9992215633392334,428.68476991395687,273.1883008192485,0.9956174492835999,572.6633322987389,274.3898289305691,0.9970303773880005,401.8473147830448,217.64021283457717,0.9468144178390503,579.7234090380757,211.07125961363084,0.963513970375061,472.0015367281908,440.88848663211337,0.9714280962944031,508.2166385135135,437.99604720178746,0.977952778339386,454.0200803760679,419.9574475715133,0.9894156455993652,532.7784644620582,443.6900323652572,0.9791492819786072,452.6838403015771,513.9368815737475,0.9895768165588379,521.473818963382,516.6325930584266,0.992264986038208,0.975383996963501
486.2981360548499,303.33410122051316,0.9929404258728027,484.6836261075153,299.4796954796936,0.993343710899353,490.47365800060504,294.2362352660658,0.991801917552948,473.48022790857266,300.61931328087,0.9566388130187988,509.97039553826664,299.4912375364786,0.9222047328948975,457.84309510926937,332.39122917679964,0.9990471005439758,527.4345935337757,335.11630878374274,0.9994338154792786,427.272113760395,277.3744445088309,0.9964943528175354,574.0582381345625,277.1609805808457,0.997530460357666,398.98771937126435,220.43523409951058,0.9552901387214661,578.3607677689708,214.48163281155004,0.9750301837921143,470.89963929618466,440.9846704386552,0.9686269760131836,508.6865733695873,437.98969907055573,0.9740012288093567,453.1187230861608,414.643131953733,0.9928334951400757,536.510997431194,441.45353443427774,0.9692993760108948,454.75514858824795,514.4521061641233,0.990225613117218,521.2178491287073,515.5199387843508,0.9927306771278381,0.9804395893040825
486.2981360548499,303.33410122051316,0.9929404258728027,484.6836261075153,299.4796954796936,0.993343710899353,490.47365800060504,294.2362352660658,0.991801917552948,473.48022790857266,300.61931328087,0.9566388130187988,509.97039553826664,299.4912375364786,0.9222047328948975,457.84309510926937,332.39122917679964,0.9990471005439758,527.4345935337757,335.11630878374274,0.9994338154792786,427.272113760395,277.3744445088309,0.9964943528175354,574.0582381345625,277.1609805808457,0.997530460357666,398.98771937126435,220.43523409951058,0.9552901387214661,578.3607677689708,214.48163281155004,0.9750301837921143,470.89963929618466,440.9846704386552,0.9686269760131836,508.6865733695873,437.98969907055573,0.9740012288093567,453.1187230861608,414.643131953733,0.9928334951400757,536.510997431194,441.45353443427774,0.9692993760108948,454.75514858824795,514.4521061641233,0.990225613117218,521.2178491287073,515.5199387843508,0.9927306771278381,0.9804395893040825
486.2981360548499,303.33410122051316,0.9929404258728027,484.6836261075153,299.4796954796936,0.993343710899353,490.47365800060504,294.2362352660658,0.991801917552948,473.48022790857266,300.61931328087,0.9566388130187988,509.97039553826664,299.4912375364786,0.9222047328948975,457.84309510926937,332.39122917679964,0.9990471005439758,527.4345935337757,335.11630878374274,0.9994338154792786,427.272113760395,277.3744445088309,0.9964943528175354,574.0582381345625,277.1609805808457,0.997530460357666,398.98771937126435,220.43523409951058,0.9552901387214661,578.3607677689708,214.48163281155004,0.9750301837921143,470.89963929618466,440.9846704386552,0.9686269760131836,508.6865733695873,437.98969907055573,0.9740012288093567,453.1187230861608,414.643131953733,0.9928334951400757,536.510997431194,441.45353443427774,0.9692993760108948,454.75514858824795,514.4521061641233,0.990225613117218,521.2178491287073,515.5199387843508,0.9927306771278381,0.9804395893040825
486.2981360548499,303.33410122051316,0.9929404258728027,484.6836261075153,299.4796954796936,0.993343710899353,490.47365800060504,294.2362352660658,0.991801917552948,473.48022790857266,300.61931328087,0.9566388130187988,509.97039553826664,299.4912375364786,0.9222047328948975,457.84309510926937,332.39122917679964,0.9990471005439758,527.4345935337757,335.11630878374274,0.9994338154792786,427.272113760395,277.3744445088309,0.9964943528175354,574.0582381345625,277.1609805808457,0.997530460357666,398.98771937126435,220.43523409951058,0.9552901387214661,578.3607677689708,214.48163281155004,0.9750301837921143,470.89963929618466,440.9846704386552,0.9686269760131836,508.6865733695873,437.98969907055573,0.9740012288093567,453.1187230861608,414.643131953733,0.9928334951400757,536.510997431194,441.45353443427774,0.9692993760108948,454.75514858824795,514.4521061641233,0.990225613117218,521.2178491287073,515.5199387843508,0.9927306771278381,0.9804395893040825
487.7358797513522,302.85818374574416,0.9953757524490356,484.2899791693737,299.24497493046266,0.9951291084289551,492.18986381165945,294.5649273942881,0.9937236905097961,474.1292679562638,299.8857835109132,0.9504643082618713,510.7967785619153,299.7917478093841,0.9047824740409851,457.1227654280633,332.1208244353417,0.9991042017936707,527.1605850188004,335.59722781645183,0.9994035959243774,427.59559247498703,279.1328447987597,0.996776282787323,573.8634332034296,278.5956261779548,0.996884286403656,398.14365011044697,219.9877229089403,0.9588906168937683,578.065196142375,217.6548167425371,0.9684972763061523,470.46273797366325,439.9813450913485,0.9715687036514282,505.60644467803894,439.344736537117,0.9678694605827332,453.42009400429197,415.49794950373905,0.9910253286361694,536.9934600385955,431.9641042033986,0.974951446056366,454.7581283347274,513.6295422505776,0.9880086779594421,521.1457905283589,515.7291065023103,0.9935880899429321,0.9791790176840389
487.73104166835856,302.86244789450086,0.9953694939613342,484.2947531717978,299.2473474643574,0.9951267242431641,492.1797070414014,294.5629395956195,0.9936903715133667,474.11154967881043,299.89517746268547,0.9504187703132629,510.7806943389829,299.7971020412816,0.904624879360199,457.11177561040233,332.1301542645763,0.999101459980011,527.1599762533906,335.6114950810889,0.9994031190872192,427.60071892054316,279.1450922034594,0.9967768788337708,573.8673421181661,278.59341395040434,0.9968822598457336,398.1578119162958,219.9979504537026,0.9588115811347961,578.0785569411057,217.6225470754423,0.9683655500411987,470.461712684552,439.9730091614482,0.9715429544448853,505.6008696684966,439.34252430956656,0.9678622484207153,453.4158326464235,415.4982059938898,0.9910141825675964,536.9924347494843,431.9685927810372,0.9749175906181335,454.7635751831308,513.6453163948505,0.9879969358444214,521.145309924088,515.7308057495592,0.9935851693153381,0.9791464805603027
487.73104166835856,302.86244789450086,0.9953694939613342,484.2947531717978,299.2473474643574,0.9951267242431641,492.1797070414014,294.5629395956195,0.9936903715133667,474.11154967881043,299.89517746268547,0.9504187703132629,510.7806943389829,299.7971020412816,0.904624879360199,457.11177561040233,332.1301542645763,0.999101459980011,527.1599762533906,335.6114950810889,0.9994031190872192,427.60071892054316,279.1450922034594,0.9967768788337708,573.8673421181661,278.59341395040434,0.9968822598457336,398.1578119162958,219.9979504537026,0.9588115811347961,578.0785569411057,217.6225470754423,0.9683655500411987,470.461712684552,439.9730091614482,0.9715429544448853,505.6008696684966,439.34252430956656,0.9678622484207153,453.4158326464235,415.4982059938898,0.9910141825675964,536.9924347494843,431.9685927810372,0.9749175906181335,454.7635751831308,513.6453163948505,0.9879969358444214,521.145309924088,515.7308057495592,0.9935851693153381,0.9791464805603027
486.1736915889748,301.52228685668473,0.9910778999328613,483.9437838929111,297.13354800925646,0.9913523197174072,495.1247859328304,295.90361361373726,0.9911564588546753,474.753060259591,297.66861852504866,0.9600715637207031,511.1236215064035,298.5985876892328,0.9281567931175232,457.1749590518816,331.3493982456074,0.9993382096290588,525.8685284969465,331.7637580841896,0.9996172189712524,423.3032196108368,273.4652460595513,0.9980351328849792,571.5070945438376,282.01861548516536,0.9982483386993408,403.0519013275971,215.97272227246475,0.9665642380714417,579.4560328620387,218.0572497891081,0.9878799319267273,474.74505018840955,444.0876241602323,0.9673202633857727,510.98648908777693,444.42231174572896,0.9868836402893066,452.62177827006315,419.2898678315753,0.9859861731529236,533.6428793036764,428.78882025930204,0.9472284913063049,451.743682226867,509.99174244209024,0.9931934475898743,523.6398062914177,519.3722926039641,0.9949455261230469,0.9815915086690117
