FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y
0,269.83250917554363,971.8145579016445,332.8489064240176,1026.0826937124014,331.34833039480935,920.6674331115678,279.1266599340153,1122.1242095476384,284.25421964052595,823.5735707279517,184.34512447163712,1134.1924555524145,187.81768389579068,830.4074623618031,530.9623171356161,1018.9923992619456,544.3272341863386,931.3794017065807,697.4986477202029,1022.584576070703,702.035855887305,937.7931974636642,838.7660016629103,1036.1827351992663,836.7413124213448,920.7793292536795
1,271.073722994374,971.6361060832722,332.5254254037289,1023.9376911777158,331.706792499061,922.4218902475777,278.7967031054751,1120.0750884897652,286.09104682317167,823.6725660740323,183.22087594219548,1133.1584222416595,190.4899794103575,831.7032571157755,533.9212639341118,1021.7565606290326,544.1307205279564,932.2139455779873,700.0192376324042,1021.330669551628,702.4602275893034,937.5886574884621,841.6673472519814,1036.1067844365643,836.0559924340216,919.8091050371539
2,271.74792561946515,972.2931573042355,333.18159019063444,1025.8385620565646,332.35654241862005,921.570634134196,278.2504582994161,1120.1500070138857,285.27260913030375,823.9208347564406,183.51475977308573,1132.3060292868297,187.62052265658335,827.914291034281,531.0404507422478,1022.0284204532084,542.1522733790047,931.7307435651635,700.875863173228,1021.5333098580434,702.5830248521424,938.0035010232023,841.5439492859363,1036.2880692772792,833.0407315515882,919.8406005904221
3,272.10750073233254,973.0571161027694,331.5783571979934,1022.4722601717488,331.94152280165093,921.2102109977728,278.15019510812346,1120.8898910085215,285.6418413675653,823.2517840562718,181.56596389021456,1130.0165342040837,192.15406390563408,831.7134806165619,533.3814293076375,1021.7392907293294,543.0815364604498,932.2625539584865,698.9702065868402,1022.0058968661026,702.5942232456877,936.9248429858274,840.2660506537428,1036.0773177080343,834.0518576891121,919.5759361653886
4,272.11329279702414,973.3608357403579,331.2709233912752,1021.7377408579113,332.1586853816078,921.303044528667,277.7463256677198,1123.473196373014,284.3028076231402,823.6420213641883,178.6784888026928,1128.9007317222804,192.87735342514375,833.4108481312569,533.7144824029255,1022.915906156362,543.7263782932793,933.5265924928822,699.90754065495,1022.0780331557679,702.017570267418,937.4888414639397,840.3811539599117,1035.927522030059,834.8158801764598,919.6983921519104
5,271.66790518866094,972.9733732673371,332.887884159857,1024.8684831404844,332.13494153264594,921.5870503937822,278.5877092855029,1119.7679098943504,284.826575280476,824.7846795389707,182.99299579913034,1129.5845398352833,188.75674841772903,829.7829139591753,532.6187291039912,1022.1869957087936,543.4989749625693,933.2295876193975,699.786216353874,1022.0319930951794,701.3661012785952,937.2814398771872,841.2959171240599,1035.9159746807695,835.4608823977148,919.6162348403202
6,271.8369941004541,973.8722758184541,331.34784018884864,1021.9313267939763,332.4975737359651,921.1733854070997,276.5349088750673,1123.583940874558,286.3207632295487,824.5488004102855,181.97429206188383,1128.3957413695123,189.98226465887458,829.2320638260012,531.8875614657359,1022.1877726625644,542.769302050686,932.8948745895711,700.0438185817088,1021.8510388802466,701.1485489447188,937.569718651698,841.5195106436898,1036.0317118670641,835.4248033729424,919.690974429633
7,272.1111002638064,973.854511493624,331.67229325005536,1021.983321482079,332.7658791287823,921.1053229114049,277.3649052494679,1122.8622362527842,285.6740878121285,824.8651154438948,179.1261138128521,1127.2382430413645,190.48130102368415,827.9151009497268,533.3028851869977,1022.0021069461507,543.3186930146732,932.7219455335003,700.2522086849137,1021.9008137004329,701.0895152891875,937.640989865563,841.4415457964873,1035.9223319116015,835.4123232113524,919.7571910715209
8,272.03600767529986,973.6605219452107,331.5600695690656,1022.065573642571,332.62502762059086,921.5792822014489,276.80417793779907,1123.0798007984708,286.50750223464865,824.7094596509633,180.17916427942183,1126.7716025885723,191.30136135185649,827.7648629798862,532.97769715169,1022.062588256567,543.3951972891977,932.5691163723825,700.1702870318111,1022.0628506045935,701.1556154109721,937.1759571352924,841.5109996770851,1036.0107021626088,835.4641176231195,919.7530500088258
9,272.2265752425274,973.3369566884486,331.6547228487012,1022.1052756439143,332.6225970160356,919.9927035856563,277.1570927454994,1122.9941986554866,286.0322020174778,824.4619645588895,179.34716823972246,1126.7982463850685,189.97272975113052,828.3455535193563,532.743213291441,1021.2775272590811,543.5842426731621,932.3160756466409,700.479783788614,1021.8325574708108,701.6146517730037,937.2181494248256,841.488312918436,1036.1593697440703,835.5219106959428,919.7042310772181
