FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y
0,283.41369254381357,967.9717337042861,321.9797417649367,1028.9920970011424,335.44423139916904,922.6260925337815,237.35371613223467,1075.360548032022,241.8325190550329,872.2740098223102,135.58734442384716,1067.7802957707167,150.98045448332985,873.1276761740994,544.4115643445475,1020.9881681488508,545.5670943092772,934.1799816885563,720.8763058814952,1022.2945859798346,719.1707969316425,933.8142497043765,847.3883166765825,1026.0343369169327,854.5137030328048,930.7759171597315
1,282.22048770621785,968.2131033062848,323.3004691293863,1028.713106692144,326.52878879105623,922.738830880327,238.59025665005407,1078.1623405327612,245.74845838608758,874.2509327032915,136.40062825732485,1067.321638770177,150.46033524412792,870.2513361362567,543.1037256466551,1022.7670841931772,545.3204791908611,938.9045037039058,723.1141597117806,1021.4486562040779,719.3989932056521,936.7552316232608,849.8930940144393,1026.8096251140878,852.0660231792415,931.131414880129
2,282.2321595637169,968.8626299317842,321.93277306922545,1022.9255800716672,325.9481277763456,922.539459161247,239.31632668206223,1084.8229778662576,241.50449090568233,871.8366406824027,129.59570161697923,1066.6397747233193,151.10943758286177,869.7013645326277,543.9947553418857,1022.5667982921278,546.2173304167153,938.6471093462987,723.1596795542187,1021.7050038603279,718.6723820719824,936.2738458660051,850.5527665866211,1026.4424912496843,854.2204689801281,930.5928217812902
3,281.9710358221602,968.9007161383591,322.59233715320283,1022.9551016242079,325.71669430974555,923.1711077777715,240.4281754115468,1084.5980864110718,253.85029052416894,875.5793729693814,133.0713782353891,1067.5970732543856,145.89888707869073,868.9548431329216,545.2698841764651,1021.6262079669132,544.9144821762263,936.173829380683,723.1396674985848,1021.8413239310194,718.9520833721706,933.7417959063305,850.5489668207454,1027.3923000809377,853.4070510222481,931.1120239975346
4,282.3657801991476,968.8636685608942,322.41812920539365,1022.2555903001011,325.57908840700304,923.1474904012015,239.85479516077723,1085.4020579924575,249.59155525435705,880.000991947418,130.05116188634665,1067.8631398959865,146.25669122207304,869.6989435312242,544.931631348688,1022.0976662057714,545.161430795419,936.520792045285,723.0860153937371,1021.7243153658271,722.6325966446855,935.3940543595875,851.2417662996309,1027.0526286734105,854.2805925193782,930.7390169007739
5,282.35169548362063,969.144402475238,322.61529915044457,1022.0904549984789,325.5827823633955,923.032650579695,238.08471768978202,1076.8792067618165,246.53597828005627,878.091709156583,136.1278701603645,1067.739412530567,145.13261480046185,869.7638309431112,545.1708518575165,1022.060617282932,549.7114515366573,939.263048697534,722.4666123706435,1022.2026161793661,717.8921670504446,936.0197483485978,849.5589014581648,1026.8718782827139,853.6215439427193,930.891043882349
6,282.3325613788262,969.2352193738502,323.0573175973483,1022.1688889861546,325.8385011154591,923.1376631132039,237.9732132454067,1077.180740838538,243.32917946367795,872.3675012413322,136.52369406195393,1068.0938743126035,149.96985069641985,869.9949313015907,545.3195208783887,1022.073438701868,549.8568404635465,939.2946838334061,723.3354595764715,1022.3154756096162,717.939333971517,936.0917178118256,849.2911415199309,1026.731337772232,853.7249291834502,931.0253247016498
7,282.772997371242,968.6526963502323,323.1283479053115,1022.4855713070009,325.43211769530615,923.0075983612263,239.07268360470297,1077.8888151349609,248.57409394143926,878.7334299192632,135.96821838299536,1068.0563154928304,145.45296975323063,869.9991100347717,545.5990427461185,1021.8490221638789,550.5731720050072,939.3371599969578,723.7163643409124,1022.4375252930406,719.3613330238971,937.8414318300538,848.9867547584603,1026.9641669369375,853.7414880327502,931.0046136703323
8,282.83891734903284,968.6392291515388,323.19996753191606,1022.68603076136,325.5569782430701,922.7854131268369,238.81137436171036,1078.2290297374404,252.10246518932485,876.4808424950347,135.0617311276757,1067.9673068616253,145.23481202838633,869.856100762092,545.6056257032138,1021.7107176658076,545.5038088536851,936.5004365291778,723.6379313871981,1022.4399348587608,723.3486683501999,935.1339719437398,848.9032282165805,1026.9452442446673,853.6961610582312,931.0162504870257
9,283.2266106624132,968.2739182695758,322.65370933225154,1022.6409028646791,325.2777456772188,922.6572171000328,238.55137501333405,1078.00015227397,243.1096341613055,872.8343717531629,134.31921776621488,1067.2731138028967,150.79584238278073,870.2079901880942,545.637136838836,1021.6800646533168,549.7013554368434,939.318768727613,723.7417291509779,1022.4166827513662,717.8198147936201,936.2902345454141,849.1908806725193,1027.02712239105,854.0422176702434,930.9262244163587
