FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y
22,271.6925527711528,998.6884066254493,355.4840605156629,1048.6153890033754,353.72043641863,944.0597318919769,291.84887879846616,1128.8246521399708,288.2636115144846,856.7505676583453,129.24670979632512,1158.217308386383,128.9965199246053,830.693682713337,595.2577811688843,1037.5015830292937,601.8255659879726,940.946191567695,802.8888426335486,1058.0702033452828,802.4681394400925,915.1469391115793,998.7770564720441,1055.1780739923684,981.557893046167,921.1494888653219
23,270.079306802762,998.6403027603857,354.5710509093127,1051.9972884873973,352.38247282328314,942.655825534347,292.2130134294805,1121.0254892857963,281.2729021724706,851.0525407307645,129.31530380745082,1156.0850929635837,128.59335632721064,832.5186731253015,587.6180645827354,1030.020325020952,612.2454481782156,944.8053512180842,798.6441257809166,1060.448631718262,819.1571665492262,912.417443336414,998.2456263330109,1055.1858098957139,988.8609596633477,923.2133779308535
24,272.61466216048893,994.4071734818705,352.3033721983355,1061.2054465782285,344.93684833164485,941.0933136502056,300.568697251021,1117.0263474553408,256.29048757962346,856.8524959208246,143.20739250034288,1150.7929413043603,122.97148953798687,838.8903492430744,580.1167441220525,1036.7409584891875,602.1662216285735,945.7855735851683,806.6089718053493,1061.9006580854495,817.9202958790316,911.8197109382176,996.4662048131498,1054.1104204456742,999.1151325042288,920.1043790863508
25,271.81467566595586,996.8797887484,349.8857607798086,1061.259737820594,345.99380136001247,940.8938026848652,272.85384650658256,1125.3295501552025,255.333474286976,858.1972690332822,116.42243165808628,1144.127082908793,128.54955722823718,838.9218222613199,581.9990546495613,1037.7954864361811,605.8429672380107,944.3704145152634,802.3929336756196,1059.9889172533697,817.1995859679381,911.7988791595392,992.284448956017,1055.0883025338246,998.5232677385308,919.9791449014971
26,271.6585587959141,995.9726471238764,350.75763092239436,1059.4451626252815,344.4174784646697,941.0879563689671,298.67864923762403,1115.060398794114,253.1049872746858,856.4865163877377,137.81381837723313,1147.2571545221804,125.40787209459957,841.0594514710864,571.1675347277339,1036.167077730895,586.795464157283,942.0244433019724,808.7689133583336,1060.9935694876006,817.9494450523267,911.8631261731666,993.1823763580718,1055.2001307345242,998.7804544297554,919.9367064084314
27,272.67137570871023,994.486185980579,347.90338930445,1054.1427107789252,347.73372580698157,942.8027047767612,296.366330309249,1115.6633727713424,258.10546577364323,854.5345986371177,134.92647982077727,1148.3583596907147,124.93103630055995,842.5484702553845,582.164669260092,1036.6616209143667,605.8492943772413,943.7634178682954,813.3176161687923,1059.1721417429167,818.3460056022177,911.8082564197684,986.9536265533209,1048.9620233966007,998.5440680078474,920.0741727381924
28,270.5901790967378,992.7436972960754,348.6598387124169,1057.907149338004,343.30291284231276,944.7761364109284,279.05462108755916,1118.1273582172605,257.19083520618926,851.8913010058379,117.6270485172346,1141.2159871389374,124.22078880439034,847.0379022041899,569.6254673177771,1036.0586001853746,587.1356054834333,941.1446733215467,807.6508044576458,1060.9036843449119,819.1579715049157,911.6622039099813,993.6054602649028,1055.0099398509972,998.5292854854747,920.0930254709888
29,271.2218432122616,993.5049424742532,348.3023901692602,1057.7851077268267,342.6115078051781,942.3149271452804,280.96058204363163,1115.536302150303,258.4524431960325,855.5416437355059,129.12594233439708,1141.6126021946468,128.31495416489938,849.6160662200502,570.5933066617373,1036.8418350051556,588.3757676321756,941.4862248899304,807.3595497915121,1060.831618351064,817.6113797350264,911.3505304183792,993.9240301849007,1054.712830038302,998.7560325295159,920.1451708410349
30,271.1417049177291,994.1070581025539,347.1216567874109,1057.9708608925826,340.2647134014472,941.0717620961725,289.0957080062251,1116.376968821036,255.9005649006103,859.7742632011733,134.74705640299265,1142.8713036284212,125.18499111478133,857.0137188734158,582.656316372756,1038.269162601097,587.2381589812637,941.7606853230047,798.5206521410005,1060.64912703526,817.4225781146819,911.5661952952793,985.765838424623,1057.106564064222,997.8140147175683,919.9714924113704
31,270.60449552163965,995.3635274759555,345.2589986972288,1054.9057217611276,339.9867130473004,943.0268320592338,287.7565590767928,1116.5773071916906,250.84248050446627,857.759427666927,132.7768623937401,1142.1673821667202,128.77192590264568,857.2060616834474,582.9392509311631,1038.4091031560122,586.926567464563,941.5565072535418,798.5333995050199,1061.6252222558667,817.6729320580689,911.9935252507062,985.2657734309123,1057.2483968069062,997.7092579716358,920.2560337355346
