FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y
0,262.06674178958093,994.1356204030797,375.7596858983232,1057.411089581133,382.58095541608037,920.3052071733216,496.4931791315463,1079.2274667934669,501.84389221032666,901.7433752862958,621.6416209385826,1095.8112769648926,610.8068363254184,880.440224178743,599.9573910716916,1038.9123678662863,606.5670148355907,932.1623450846116,790.6789606538333,1048.9367007578585,799.9324111541629,916.6595490376448,987.0350620185444,1052.085086281557,985.3243085094794,914.1772564082878
1,263.5811386802882,992.8008716549618,375.7492027233109,1056.1704793981908,381.573855396365,920.5017980033208,496.70848636230346,1078.1175119819054,498.2248033937769,899.9250882027519,618.2571827326701,1091.1344229132703,610.5932260644761,881.7383719506639,596.2081110523952,1036.7877174842718,601.2100280245817,942.3561702731075,788.8393221533964,1046.8990530536773,789.0205751376902,911.5725885148788,987.6746615941875,1053.6173413659965,982.4460015960415,913.6662663579601
2,263.2430673358654,993.0167450754193,375.93104904432755,1055.647247112647,381.8552028125222,920.9682931556674,495.07899738257197,1078.1306085299254,501.48427122436044,900.689150595122,618.9941029244808,1092.163608167033,610.6188148825934,884.0071728192736,596.3844251446668,1034.3563772141276,601.9762011901299,942.7449606307547,791.0511716289544,1047.6883573623197,785.9844563934365,912.7664307896308,988.0348410935023,1054.136437970343,982.1526602061733,915.4091626909357
3,264.05230663532706,992.3618490708217,377.49101968673483,1056.5730544629123,382.51472403696204,920.2830898893134,496.13887775083816,1077.009937474169,504.51680583978657,901.111853807661,618.8039391744586,1091.453091006871,608.2096950099434,884.28640798643,594.3033581995375,1034.6879437493542,601.4940608586384,943.9139659469572,783.8076874493622,1041.1093859423793,789.2627154525142,912.3614448138146,987.8643217446435,1053.8456204741603,984.4922542075961,916.521814305672
4,263.67486780114535,992.907154894681,377.2454144461722,1056.4058405576955,382.6085248136086,920.8734503079653,493.84758883396887,1076.7604485370937,505.9609559484514,901.8787495587172,618.43539804724,1090.9363568801375,614.3189088947906,879.3520640556118,593.9693310542906,1036.2377122462804,601.2990740712814,942.7734980418523,782.652317538218,1040.9246471889926,788.3499224877326,912.0423811801123,987.4384559859534,1053.1709481266648,982.3041780469321,913.8307437714543
5,263.86680821293504,992.9158217971769,377.69233495268304,1057.0534890404,381.87045009300516,921.4981702458413,493.50105553516636,1076.2385057930032,504.750008601671,902.9267841818402,612.9930578065631,1088.8468046279447,613.8713535313798,883.8491316773627,594.9664769464104,1033.0667943905419,600.1649196312238,941.5368795850363,783.8007669734086,1039.8759116257577,789.4067770730999,913.3938596390523,987.8590968991441,1053.771121706882,981.6480226355503,913.5123608972465
6,263.77973102624145,992.8543583633793,378.2166946073812,1056.4918072971677,381.85608946920524,921.5189401372928,494.20326272439894,1075.8623868450359,504.1913747105393,902.9067407926158,613.0920258362054,1089.2676229708165,612.5185591966805,883.652098891842,595.4918946959417,1032.3195316894892,600.2990083731662,941.6664640383192,789.1308795150142,1047.598564377784,789.7273985586178,913.953321514368,988.1670748210852,1053.5562768357368,981.3433207895107,913.5628615469726
7,263.81234378591466,993.2781836287578,378.1888466228589,1056.3641985263307,381.9595751619773,921.5666592252509,495.4988147564455,1077.5294121287484,505.2343053036455,903.4009506595564,617.5524748317287,1089.2492559182128,611.972142282791,884.2174010378399,594.9944320797765,1033.9033152897687,600.7335183648356,942.2904346026015,788.9111092000695,1048.2260039902014,778.392790706322,924.1654471594302,988.2297769851584,1053.264500087539,981.1114654243379,913.7413342186496
8,263.39633706022147,993.3721553359638,378.28131875384145,1056.4578823339054,382.357842057207,921.1229331908553,494.95391169667084,1077.8396275707416,505.59985362971867,902.2221900328918,616.6092964638659,1089.7644267197834,613.1462665900142,881.8436760940945,595.3093036904601,1033.7901908207432,600.9160892799089,942.0623532644885,780.4070684286645,1041.2470150624542,788.7884693120949,914.1429251419281,988.4743710085071,1053.2083697182393,981.1950147353471,913.4080412316025
9,263.3137741882562,992.9833865148194,378.05183405683937,1057.111169281118,382.8732440685575,919.6994899774983,491.7239249915233,1081.8449678778386,495.2802768206255,895.4427093797358,610.1451272555228,1098.2506783826661,603.8131823992388,875.4138407822833,596.952045475398,1037.3384695732796,604.4783490283901,935.3612554747773,789.1831333274494,1050.1294707691382,776.2716079037273,922.1357317832707,988.0302819101955,1052.8980436191937,982.5535415331935,913.8624643386067
